Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,13249,0,600,639.8194999786683,91.4775999262929,1701.1055999901146,10557.813570835535,22.1351237866582,0.0,600,680,690,700,790,880,1100,1200,1600,1700,1700
POST,/cart,5368,0,780,793.2627041506319,282.11260004900396,2291.8670000508428,18148.59873323398,8.968325495266148,0.0,780,810,890,900,1000,1100,1300,1400,1900,2300,2300
POST,/cart/checkout,2893,0,420,460.10294313904063,194.3101000506431,2126.048899954185,6804.449014863463,4.8333393550307315,0.0,420,480,490,500,570,670,1000,1200,2000,2100,2100
GET,/product/0PUK6V6EV0,2256,0,490,508.9413492031336,274.2316999938339,1579.0214999578893,8015.953014184397,3.7691025181297375,0.0,490,510,570,580,610,700,860,980,1400,1600,1600
GET,/product/1YMWWN1N4O,1707,0,490,510.3462873396093,132.7905000653118,1384.5287000294775,8035.841241944932,2.851887410659336,0.0,490,510,570,580,610,690,890,1100,1300,1400,1400
GET,/product/2ZYFJ3GM2N,1792,0,490,511.99085575041994,222.62859996408224,1595.1277001295239,8031.22265625,2.993897035677522,0.0,490,510,570,580,610,700,920,1100,1300,1600,1600
GET,/product/66VCHSJNUP,1865,0,490,510.5083464356464,132.73769989609718,1581.8386001046747,7994.693833780161,3.1158582430460817,0.0,490,510,570,590,610,690,890,1000,1500,1600,1600
GET,/product/L9ECAV7KIM,1886,0,490,512.6306333518385,281.30330005660653,1675.2125001512468,8008.340402969247,3.1509429739329278,0.0,490,510,560,580,610,700,890,1100,1600,1700,1700
GET,/product/OLJCESPC7Z,1874,0,490,514.4837401259896,152.6359999552369,1669.6820999495685,8038.724653148346,3.1308945562833017,0.0,490,510,570,580,610,700,890,1100,1600,1700,1700
,Aggregated,32890,0,590,604.626419732292,91.4775999262929,2291.8670000508428,10588.59674673153,54.949371374683984,0.0,590,620,690,700,810,910,1100,1200,1600,2100,2300
